search_label,property_type,price,deposit,monthly_rent,address,floor,size,description,link,photo
인천시 아파트,아파트,"월세 2,000/120","2,000만원",120만원,선부동 안산메트로타운푸르지오힐스테이트(주상복합),7층,74.76m2,27년 3월말까지 거주가능한 단기 월세입니다.,https://www.peterpanz.com/house/19297500,https://static.peterpanz.com/apt/111264/90533c08ccfddb632919361098156b7f_thumb.jpg
인천시 아파트,아파트,"월세 3,000/130","3,000만원",130만원,선부동 안산메트로타운푸르지오힐스테이트(주상복합),8층,84.50m2,"2027년 3월말까지 단기 임대 조건, 에어컨, 중문 설치",https://www.peterpanz.com/house/19288307,https://static.peterpanz.com/apt/111264/4d0a101bf12e2ef2f5e1249151ca0768_thumb.jpg
인천시 아파트,아파트,월세 500/60,500만원,60만원,우면동 호반써밋서초파크뷰,고층,84.95m2,하우스메이트 구함(서초구 아파트),https://www.peterpanz.com/house/19295435,https://img.peterpanz.com/photo/20260506/19295435/24dcd5adbb0d70b01ac84ab1498a656a_thumb.jpg
인천시 아파트,아파트,월세 150/90,150만원,90만원,신흥동2가 삼익,저층,108m2,ꕤ아파트가 이가격? ꕤ처음보는 실제 가격 쓰리룸 매물최다보유ꕤ,https://www.peterpanz.com/house/19261234,https://img.peterpanz.com/photo/20250924/18154552/68d3789ab5cc6_thumb.jpg
인천시 아파트,아파트,"월세 3,000/170","3,000만원",170만원,송도동 송도럭스오션SK뷰,29층,84.98m2,"단기1년,양창오션뷰,빠른입주가능,풀에어컨,마감특화,넓은드레스룸",https://www.peterpanz.com/house/19286604,https://realty.asil.kr/files_new_e/mm/2026/05/2026050510072514020_51343_ws.jpg
인천시 아파트,아파트,단기 200/50,,,구산동 GS부평자이,3층,84.74m2,송내역 도보 15분 거리 여성 하우스메이트 구함,https://www.peterpanz.com/house/19145043,https://img.peterpanz.com/photo/20260406/19145043/87dd6b41f82361eed02bb5d6a4d68cc1_thumb.jpg
인천시 아파트,아파트,"월세 3,000/150","3,000만원",150만원,원당동 검단호수공원역호반써밋,고층,84.62m2,"티파니,에6,중문,주방펜트리,고층뷰",https://www.peterpanz.com/house/19227224,https://realty.asil.kr/files_new_e/mm/2026/04/2026042215160113106_43234_ws.jpg
인천시 아파트,아파트,"월세 2,000/115","2,000만원",115만원,중산동 영종하늘도시한신더휴2차,저층,74.75m2,에어컨4대.중문.풀옵션.전입신고가능.,https://www.peterpanz.com/house/17871811,https://img.peterpanz.com/photo/20250719/17836970/687a7393de2fa_thumb.jpg
인천시 아파트,아파트,"월세 3,000/230","3,000만원",230만원,송도동 송도럭스오션SK뷰,저층,84.95m2,"사계절단지뷰와오션뷰,빠른입주가능,판상형,에어컨3대,중문",https://www.peterpanz.com/house/19297205,https://realty.asil.kr/files_new_e/mm/2026/05/2026050711085968171_51343_ws.jpg
인천시 아파트,아파트,"월세 3,000/150","3,000만원",150만원,효성동 제일풍경채계양위너스카이1단지,4층,75.88m2,빠른 입주 합리적가격 수납편리 남동향 에어컨4대,https://www.peterpanz.com/house/19222399,https://realty.asil.kr/files_new_e/mm/2026/04/2026042116025547430_45513_rot.jpg
인천시 아파트,아파트,"월세 2,000/85","2,000만원",85만원,정왕동 세종1차,5층,74.56m2,"역세권, 올수리.날짜협의",https://www.peterpanz.com/house/19284632,
인천시 아파트,아파트,"월세 3,000/220","3,000만원",220만원,송도동 힐스테이트레이크송도3차,17층,84.88m2,I정답입니다I 멋진호수뷰 아름다운야경 풀옵션,https://www.peterpanz.com/house/19185401,
인천시 아파트,아파트,"월세 1,000/250","1,000만원",250만원,송도동 랜드마크시티센트럴더샵,중층,84.81m2,"o사이다o 뻥 뚫린 사이다뷰,월세를 연세로 납부하는 조건, 풀에어컨",https://www.peterpanz.com/house/19248554,
인천시 아파트,아파트,"월세 3,000/130","3,000만원",130만원,광명동 금반석시티1차(주상복합),중층,78.38m2,O초역세권아파트O광명사거리역 도보3분O넓고 상태 좋음O 빠른입주가능O,https://www.peterpanz.com/house/19184076,
인천시 아파트,아파트,"월세 3,000/120","3,000만원",120만원,정왕동 동원,2층,84.75m2,역세권 월세 올수리 전실구조 배곧상권 인접,https://www.peterpanz.com/house/19289755,
인천시 아파트,아파트,"월세 4,000/165","4,000만원",165만원,부평동 부평역해링턴플레이스,39층,72.87m2,"U복덩이U 풀가전.가구옵션, 뷰예뻐요, 집예뻐요",https://www.peterpanz.com/house/19241453,
김포시 아파트,아파트,"월세 2,000/160","2,000만원",160만원,구래동 한가람마을우미린,중층,105.82m2,"선호하는 판상형구조,일조권좋은집,확트인뷰,빠른입주가능,이사협의",https://www.peterpanz.com/house/19238430,https://realty.asil.kr/files_new_e/mm/2026/04/2026042413100711861_42763_rot.jpg
김포시 아파트,아파트,월세 50/35,50만원,35만원,주엽동 문촌4단지삼익,6층,100.80m2,주엽역 역세권입니다 걸어서 5분 경의선쪽은 10분내외,https://www.peterpanz.com/house/19176012,https://img.peterpanz.com/photo/20260412/19176012/78208bf55c32cd21d2a5c00ab011d8be_thumb.jpg
김포시 아파트,아파트,"월세 3,000/115","3,000만원",115만원,대화동 킨텍스휴먼빌,7층,84.36m2,"올수리,즉시 입주 가능,정 남향,교통 편리합니다",https://www.peterpanz.com/house/19299018,
김포시 아파트,아파트,"월세 3,000/160","3,000만원",160만원,구래동 한가람마을우미린,18층,105.78m2,"26년 6월 이사협의,기둥철거,실링팬,매립조명,리모델링 된 집.",https://www.peterpanz.com/house/19292269,
강원도 아파트,아파트,"월세 4,000/150","4,000만원",150만원,약사동 춘천롯데캐슬위너클래스,3층,84.80m2,"에어컨4대,중문,줄눈,대리석리모델링,간접조명,",https://www.peterpanz.com/house/19213516,https://realty.asil.kr/files_new_e/mm/2026/04/2026042010345621732_42954_ws.jpg
강원도 아파트,아파트,월세 100/55,100만원,55만원,신읍동 한국,5층,84.22m2,포천 시청5분거리,https://www.peterpanz.com/house/19233495,https://img.peterpanz.com/photo/20260423/19233495/72aea51882b35b29acff8c496c1bfa5a_thumb.jpg
강원도 아파트,아파트,"월세 3,000/95","3,000만원",95만원,어룡동 포천모아엘가리더스파크,4층,84.88m2,o강추o 관리잘된집 싹 다맞쳐드림 탑과함께해요,https://www.peterpanz.com/house/19296867,
강원도 아파트,아파트,"월세 3,000/130","3,000만원",130만원,근화동 춘천파밀리에리버파크(주상복합),23층,84.78m2,"거실 양창 조망 굿.시에4대,중문,인덕션",https://www.peterpanz.com/house/19201500,
부산시 아파트,아파트,"월세 3,000/180","3,000만원",180만원,중동 디아트,저층,84.77m2,`* 달맞이 디아트 귀한매물월세 l 대리석 인테리어,https://www.peterpanz.com/house/19227131,https://img.peterpanz.com/photo/20260422/19227131/69e875cdef1ac_thumb.jpg
부산시 아파트,아파트,"월세 1,000/230","1,000만원",230만원,범전동 삼한골든뷰센트럴파크(주상복합),중층,84.97m2,선착순1명구해줘 그집!귀한물건 입주빠름보증금 조절가능!,https://www.peterpanz.com/house/19210910,https://img.peterpanz.com/photo/20260418/19210910/69e37865a1de6_thumb.jpg
부산시 아파트,아파트,월세 300/33,300만원,33만원,범천동 서면유림노르웨이숲,15층,84.95m2,세대분리형 원룸 가성비 끝판왕,https://www.peterpanz.com/house/19270693,https://img.peterpanz.com/photo/20250918/18124237/68cbb79bca597_thumb.jpg
부산시 아파트,아파트,단기 500/150,,,송정동 해운대경보이리스힐,15층,75.53m2,"송정바닷가 도보5분, 중동 백병원 차량 5분 조용한 최고의 주거환경",https://www.peterpanz.com/house/19146227,https://img.peterpanz.com/photo/20260407/19146227/69d460d83fda4_thumb.jpg
부산시 아파트,아파트,"월세 1,000/50","1,000만원",50만원,반여동 현대1차,1층,71.56m2,"26 남향, 귀한 1층 , 올수리, 입주4월말 협의가능",https://www.peterpanz.com/house/19218643,https://img.peterpanz.com/photo/20260321/19061847/906cc77b10ecbe8cc41d4182b3bd26b5_thumb.jpg
부산시 아파트,아파트,"월세 2,000/190","2,000만원",190만원,중동 디아트,저층,84.77m2,꿀매물,https://www.peterpanz.com/house/19254283,https://img.peterpanz.com/photo/20260427/19253628/69ef6cb28e8f3_thumb.jpg
부산시 아파트,아파트,"월세 3,000/160","3,000만원",160만원,부암동 백양산서희스타힐스,13층,84.98m2,숲세권신축귀한월세쾌적한 주거환경24시문의,https://www.peterpanz.com/house/19277904,https://img.peterpanz.com/photo/20260502/19277904/69f5af7fd85db_thumb.jpg
제주시 아파트,아파트,월세 500/71,500만원,71만원,삼양이동 대일,5층,83.55m2,한라산뷰 정남향 올리모델링 삼양대일아파트 가장 큰평수 연세,https://www.peterpanz.com/house/19260089,https://realty.asil.kr/files_new_e/mm/2026/04/2026042819181022571_48888_rot.jpg
제주시 아파트,아파트,"월세 1,000/134","1,000만원",134만원,도련일동 제주삼화사랑으로부영6차,10층,84.36m2,전망 좋고 탑층 학교 앞,https://www.peterpanz.com/house/19165121,https://realty.asil.kr/files_new_e/mm/2026/04/2026040917593733765_43719_rot.jpg
제주시 아파트,아파트,"월세 2,000/175","2,000만원",175만원,조천읍 제주시엘크루더퍼스트,2층,84.95m2,엘크루.연세.30평대.함덕.대장단지.로얄호실.함덕해수욕장.,https://www.peterpanz.com/house/19233749,https://realty.asil.kr/files_new_e/mm/2026/04/2026042316005103134_46511_ws.jpg
제주시 아파트,아파트,"월세 1,000/141","1,000만원",141만원,화북이동 제주삼화LH2단지,4층,84.95m2,내부최상.정남향.개방감좋음.삼화초앞.바로입주.년세,https://www.peterpanz.com/house/19290032,https://realty.asil.kr/files_new_e/mm/2026/05/2026050610380913428_49608_ws.jpg
제주시 아파트,아파트,"월세 1,000/142","1,000만원",142만원,도련일동 제주삼화사랑으로부영6차,6층,84.36m2,한라산전망 즉시입주 정남향 학교앞,https://www.peterpanz.com/house/19299382,https://realty.asil.kr/files_new_e/mm/2026/05/2026050714144134643_43719_ws.jpg
제주시 아파트,아파트,"월세 1,000/108","1,000만원",108만원,화북일동 화북주공1단지,4층,84.60m2,화북주공1단지 년세,https://www.peterpanz.com/house/19288836,https://realty.asil.kr/files_new_e/mm/2026/05/2026050517584677525_48488_ws.jpg
부산시 빌라주택,빌라/주택,"월세 2,500/50","2,500만원",50만원,수영구 망미동,1층,58.84m2,올리모델링 복층 즉입가능 2층 옥상 단독사용 가능!,https://www.peterpanz.com/house/19181386,https://img.peterpanz.com/photo/20260310/19005470/69aff9e5bf182_thumb.jpg
부산시 빌라주택,빌라/주택,월세 500/70,500만원,70만원,부산진구 부암동,4층,30m2,부암동귀한쓰리룸시민공원인근,https://www.peterpanz.com/house/19204691,https://img.peterpanz.com/photo/20260417/19204691/69e1c890ecd18_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 1,000/50","1,000만원",50만원,중구 영주동,2층,41.16m2,"방3개,풀옵션 채광시설 너무 좋아요",https://www.peterpanz.com/house/19160849,https://img.peterpanz.com/photo/20260409/19160849/69d7231f0100a_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 1,000/55","1,000만원",55만원,북구 덕천동,2층,69.99m2,살고 싶은 집 찾으셨죠?,https://www.peterpanz.com/house/19274362,https://img.peterpanz.com/photo/20260331/19112638/69cb9f1d330bb_thumb.jpg
부산시 빌라주택,빌라/주택,월세 500/40,500만원,40만원,부산진구 개금동,고층,47.58m2,개금시장 방3 위치좋은매물 보증금조절가능 문의환영,https://www.peterpanz.com/house/19188513,https://img.peterpanz.com/photo/20260414/19188513/69ddf0dd8c05e_thumb.jpg
부산시 빌라주택,빌라/주택,월세 500/65,500만원,65만원,부산진구 전포동,4층,30.25m2,보증금500 화이트톤 리모델링 전포동 추천 집,https://www.peterpanz.com/house/19298205,https://img.peterpanz.com/photo/20241219/16607305/6763d9351d35b_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 1,000/40","1,000만원",40만원,남구 용당동,중층,78.88m2,"실매물 , 방3개,거실1개, 도배 장판 교체예정, LH전세대출가능",https://www.peterpanz.com/house/19270262,https://img.peterpanz.com/photo/20260331/19110922/69cb6231c4adf_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 1,000/40","1,000만원",40만원,북구 덕천동,2층,56.04m2,역세권_리모델링+거실1방3_해잘듬_가격할인,https://www.peterpanz.com/house/19181410,https://img.peterpanz.com/photo/20260107/18692051/695e3ec9c6137_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 1,000/18","1,000만원",18만원,부산진구 전포동,2층,28.43m2,"복층,방3,주방,화1,옥상단독",https://www.peterpanz.com/house/19228677,https://img.peterpanz.com/photo/20240808/15845616/66b443c5da227_thumb.jpg
부산시 빌라주택,빌라/주택,월세 500/40,500만원,40만원,북구 구포동,1층,66.52m2,초특가 l 방3거실1 l 인기매물,https://www.peterpanz.com/house/19280958,https://img.peterpanz.com/photo/20260402/19123876/69ce24f9a0690_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 1,000/75","1,000만원",75만원,서구 암남동,8층,72.30m2,"편한 자주식 주차 가능한 상가주택 거실,방3,화2",https://www.peterpanz.com/house/19176830,https://img.peterpanz.com/photo/20260121/18767131/6970a9a80b9a4_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 1,000/40","1,000만원",40만원,부산진구 개금동,4층,111m2,상가주택 4층 34평 단독,https://www.peterpanz.com/house/19292420,https://img.peterpanz.com/photo/20260504/19285700/69f945df0e4a1_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 1,000/30","1,000만원",30만원,금정구 서동,1층,67m2,"서동역 도보3분, 1층, 방3칸 밝고 깨끗",https://www.peterpanz.com/house/19170515,https://img.peterpanz.com/photo/20210208/11236759/6020e436a5003_thumb.jpg
부산시 빌라주택,빌라/주택,월세 500/35,500만원,35만원,부산진구 전포동,고층,51.30m2,"풀옵션,방3,거실,화1,베란다,저렴한월세",https://www.peterpanz.com/house/19176950,https://img.peterpanz.com/photo/20260312/19011956/69b193679228c_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 6,000/25","6,000만원",25만원,부산진구 전포동,고층,46.86m2,"복층구조,방3,거실,화1,베란다,옥상사용가능",https://www.peterpanz.com/house/19199252,https://img.peterpanz.com/photo/20250416/17346228/67ffab14e701c_thumb.jpg
부산시 빌라주택,빌라/주택,월세 300/51,300만원,51만원,해운대구 재송동,중층,58.27m2,주목넓은 쓰리룸 가성비 최고 애완동물가능인기매물,https://www.peterpanz.com/house/19149426,https://img.peterpanz.com/photo/20260407/19149426/69d490cb4d588_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 1,000/40","1,000만원",40만원,연제구 연산동,2층,46m2,#부산 전지역 월세 & 단기 전문,https://www.peterpanz.com/house/19217327,https://img.peterpanz.com/photo/20260420/19217327/69e5ec876232e_thumb.jpg
부산시 빌라주택,빌라/주택,월세 500/35,500만원,35만원,북구 구포동,2층,57.60m2,쓰리룸 l 초특가 l 조용한주택가,https://www.peterpanz.com/house/19277979,https://img.peterpanz.com/photo/20260429/19264251/69f1d3fde0901_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 2,000/65","2,000만원",65만원,사하구 괴정동,3층,53.85m2,"실내계단이 있는 복층형 주택, 화이트톤 예쁜 주택입니다.",https://www.peterpanz.com/house/19275560,https://img.peterpanz.com/photo/20240503/15462376/6634617b65568_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 3,000/35","3,000만원",35만원,부산진구 가야동,3층,48.50m2,개금동의대역양방향5분가야동특쓰리룸보증금조정가능전세대출가능남향신축,https://www.peterpanz.com/house/19158160,https://img.peterpanz.com/photo/20251201/18512984/692d25d41d878_thumb.jpg
부산시 빌라주택,빌라/주택,월세 500/60,500만원,60만원,부산진구 전포동,6층,43.20m2,보증금 500 쓰리룸 꿀매물 풀옵션,https://www.peterpanz.com/house/19269515,https://img.peterpanz.com/photo/20250312/17115800/67d0eda63ef14_thumb.jpg
